cve_id,status,repo_url,issues,commits_sha,commits_sha_begin,std_version,edition,备注
CVE-2020-35858,进行中,https://github.com/danburkert/prost,https://github.com/danburkert/prost/issues/267,04091d3e745c27590a5f1b7f581793e4159486b5,,,,issue不存在
CVE-2020-35861,进行中,https://github.com/fitzgen/bumpalo,https://github.com/fitzgen/bumpalo/issues/69,,,,,触发代码复杂
CVE-2020-35862,完成,https://github.com/myrrlyn/bitvec,https://github.com/myrrlyn/bitvec/issues/55,b8c2ec36dce7aa57445cafba2c4bbb4ba2d664d0,version=0.17.3,,2021,
CVE-2020-35874,进行中,https://github.com/droundy/internment,https://github.com/droundy/internment/issues/11,,,,,无触发代码
CVE-2020-35876,进行中,https://github.com/spacejam/rio,https://github.com/spacejam/rio/issues/11,,,,,被删除了
CVE-2020-35881,进行中,https://github.com/reem/rust-traitobject,https://github.com/reem/rust-traitobject/issues/7,,,,,无触发代码
CVE-2020-35885,完成,https://github.com/pigeonhands/rust-arch,https://github.com/pigeonhands/rust-arch/issues/2,0c82150105a201036b09e5d4dfdef2b2727476d4,07f707755ae3bfa214654771a3c27d9b82f08ac3,,,
CVE-2020-35888,完成,https://github.com/sjep/array,https://github.com/sjep/array/issues/1,34380d886168061149af0ee47fe07a74b7ebf4e2,,1.47.0,,
CVE-2020-35890,完成,https://github.com/maciejhirsz/ordnung,https://github.com/maciejhirsz/ordnung/issues/8,d5811c82b21ac88e0b931cd27852662308b182f4,,1.46.0,,
CVE-2020-35891,进行中,https://github.com/maciejhirsz/ordnung,https://github.com/maciejhirsz/ordnung/issues/8,,,,,
CVE-2020-35892,完成,https://github.com/nathansizemore/simple-slab,https://github.com/nathansizemore/simple-slab/issues/2,5e0524c1db836e2192e1cd818848d96937c0b587,,,,
CVE-2020-35893,进行中,https://github.com/nathansizemore/simple-slab,https://github.com/nathansizemore/simple-slab/issues/2,5e0524c1db836e2192e1cd818848d96937c0b587,,,,
CVE-2020-35895,完成,https://github.com/arcnmx/stack-rs,https://github.com/arcnmx/stack-rs/issues/4,369e55736f9bd29c37b1712afc2923f4028148c6,,,2018,
CVE-2020-35898,完成,https://github.com/actix/actix-net,https://github.com/actix/actix-net/issues/160,3f733cd056098d5e8de6ae8da40950500edc881e,,,2021,
CVE-2020-35900,进行中,https://github.com/raviqqe/array-queue,https://github.com/raviqqe/array-queue/issues/2,,,1.41.0,,未修复
CVE-2020-35901,完成,https://github.com/actix/actix-web,https://github.com/actix/actix-web/issues/1321,8f9f9348e8163f7dc0ce643ecf2b9d698df41ccc,dede6fef9a50650efdd1ee36b2466911cc1b1950,1.75,,
CVE-2020-35902,完成,https://github.com/actix/actix-net,https://github.com/actix/actix-net/issues/91,c41b5d8dd4235ccca84d0b687996615c0c64d956,,1.71.1,,
CVE-2020-35903,完成,https://github.com/elrnv/dync,https://github.com/elrnv/dync/issues/4,6972f94fe82c281f38f4e5b2aff17f9d73d75bdb,,,2018,
CVE-2020-35924,race condition,https://github.com/mpdn/try-mutex,https://github.com/mpdn/try-mutex/issues/2,,,,,
CVE-2020-13759,未开始,https://github.com/rust-vmm/vm-memory,https://github.com/rust-vmm/vm-memory/issues/93,,,,,
CVE-2020-25016,未开始,https://github.com/kornelski/rust-rgb,https://github.com/kornelski/rust-rgb/issues/35,,,,,
CVE-2020-25795,未开始,https://github.com/bodil/sized-chunks,https://github.com/bodil/sized-chunks/issues/11,,,,,
CVE-2020-25574,未开始,https://github.com/hyperium/http,https://github.com/hyperium/http/issues/352,,,,,
CVE-2021-26305,未开始,https://github.com/hrektts/cdr-rs,https://github.com/hrektts/cdr-rs/issues/10,0e6006de464caa331643f86cd2d9ba3b32b09833,,,,
CVE-2021-26308,未开始,https://github.com/blackbeam/rust-marc,https://github.com/blackbeam/rust-marc/issues/7,6299af0,,,,
CVE-2020-36203,未开始,https://github.com/diwic/reffers-rs,https://github.com/diwic/reffers-rs/issues/7,6dd7ca0d50f2464df708975cdafcfaeeb6d41c66,,,,
CVE-2020-36206,未开始,https://github.com/a1ien/rusb,https://github.com/a1ien/rusb/issues/44,,,,,
CVE-2020-36208,未开始,https://github.com/oliver-giersch/conquer-once,https://github.com/oliver-giersch/conquer-once/issues/3,,,,,
CVE-2020-36210,未开始,https://github.com/mersinvald/autorand-rs,https://github.com/mersinvald/autorand-rs/issues/5,,,,,
CVE-2020-36211,未开始,https://github.com/Devolutions/gfwx-rs,https://github.com/Devolutions/gfwx-rs/issues/7,,,,,
CVE-2020-36215,未开始,https://github.com/AdrienChampion/hashconsing,https://github.com/AdrienChampion/hashconsing/issues/1,,,,,
CVE-2020-36216,未开始,https://github.com/petabi/eventio,https://github.com/petabi/eventio/issues/33,,,,,
CVE-2020-36217,未开始,https://github.com/Xudong-Huang/may,https://github.com/Xudong-Huang/may/issues/88,,,,,
CVE-2020-36220,未开始,https://github.com/video-audio/va-ts,https://github.com/video-audio/va-ts/issues/4,,,,,
CVE-2021-25900,未开始,https://github.com/servo/rust-smallvec,https://github.com/servo/rust-smallvec/issues/252,5757ac500d4e544485d796b542e4e589749c291b,,,,
CVE-2021-25901,未开始,https://github.com/khuey/lazy-init,https://github.com/khuey/lazy-init/issues/9,,,,,
CVE-2021-25905,未开始,https://github.com/Enet4/bra-rs,https://github.com/Enet4/bra-rs/issues/1,aabf5562f8c6374ab30f615b28e0cff9b5c79e5f,,,,
CVE-2021-25906,未开始,https://github.com/liebharc/basic_dsp,https://github.com/liebharc/basic_dsp/issues/47,,,,,
CVE-2021-25907,未开始,https://github.com/strake/containers.rs,https://github.com/strake/containers.rs/issues/2,,,,,
CVE-2021-25908,未开始,https://github.com/cogciprocate/ocl,https://github.com/cogciprocate/ocl/issues/194,,,,,
CVE-2018-25024,未开始,https://github.com/actix/actix-web,https://github.com/actix/actix-web/issues/289,,,,,
CVE-2018-25025,未开始,https://github.com/actix/actix-web,https://github.com/actix/actix-web/issues/289,,,,,
CVE-2018-25026,未开始,https://github.com/actix/actix-web,https://github.com/actix/actix-web/issues/289,,,,,
CVE-2020-36511,未开始,https://github.com/hinaria/bite,https://github.com/hinaria/bite/issues/1,,,,,
CVE-2020-36512,未开始,https://github.com/carllerche/buffoon,https://github.com/carllerche/buffoon/issues/2,,,,,
CVE-2020-36513,未开始,https://github.com/netvl/acc_reader,https://github.com/netvl/acc_reader/issues/1,,,,,
CVE-2020-36514,未开始,https://github.com/netvl/acc_reader,https://github.com/netvl/acc_reader/issues/1,,,,,
CVE-2021-45680,未开始,https://github.com/Eolu/vec-const,https://github.com/Eolu/vec-const/issues/1#issuecomment-898908241,,,,,
CVE-2021-45681,未开始,https://github.com/Connicpu/com-impl,https://github.com/Connicpu/com-impl/issues/1,,,,,
CVE-2021-45682,未开始,https://github.com/Hexilee/BronzeDB,https://github.com/Hexilee/BronzeDB/issues/1,,,,,
CVE-2021-45683,未开始,https://github.com/binast/binjs-ref,https://github.com/binast/binjs-ref/issues/460,,,,,
